serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
572,c3360ec0-d28a-467b-8f14-0d73504b6636,Webinar 0572 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,04/01/2022 18:00,04/01/2022 19:00,America/Los_Angeles,Virtual,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,605,1,416,405,4.69
573,e57ee017-da1f-4041-9349-3f9c7171a802,Meetup 0573 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,04/05/2021 18:00,04/06/2021 00:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,135,0,77,58,4.85
574,2566da35-d4b3-420b-a73d-213e77f67531,Webinar 0574 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,11/30/2021 14:00,11/30/2021 20:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,660,1,435,322,3.82
575,c50536bc-8bf4-415c-8f11-8faf0cc9bd43,Workshop 0575 • Consulting Case Prep,Workshop,Consulting Case Prep,Join us for a workshop on Consulting Case Prep.,02/22/2026 14:00,02/22/2026 22:00,America/Chicago,Hybrid,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,133,1,124,124,4.25
576,cfdbe6b1-5d86-4228-96ca-b124377b9cc6,Meetup 0576 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for a meetup on AI & Data Analytics Careers.,11/26/2025 10:00,11/26/2025 16:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,128,1,40,31,4.63
577,90c7b23c-89b8-49de-9ebc-6b241e9facef,Networking Night 0577 • Entrepreneurship,Networking Night,Entrepreneurship,Join us for a networking night on Entrepreneurship.,04/12/2024 10:00,04/12/2024 16:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,135,1,98,85,4.64
578,cb44c9c0-7028-4362-aeef-83fac63204a4,Guest Lecture 0578 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,08/20/2020 14:00,08/20/2020 17:00,America/Chicago,Hybrid,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,291,1,113,76,4.57
579,fbab79f4-82aa-4d46-8ece-4bb570d2c46e,Panel 0579 • Entrepreneurship,Panel,Entrepreneurship,Join us for a panel on Entrepreneurship.,09/27/2020 14:00,09/27/2020 17:00,America/Chicago,In-person,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,159,1,135,87,3.89
580,c86dc06a-c3ad-4ca9-b186-3b49af2a86c1,Webinar 0580 • Product & Project Management,Webinar,Product & Project Management,Join us for a webinar on Product & Project Management.,05/02/2023 18:00,05/02/2023 19:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,633,1,318,245,4.45
581,2cb23f5a-ed78-48e3-9003-9ff5c9dd2d8c,Panel 0581 • Tech for Good,Panel,Tech for Good,Join us for a panel on Tech for Good.,08/09/2020 18:00,08/09/2020 19:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,245,1,231,154,3.59
582,68cc0a99-371f-40e5-8f7a-581504f8ba77,Panel 0582 • Cloud & DevOps Pathways,Panel,Cloud & DevOps Pathways,Join us for a panel on Cloud & DevOps Pathways.,01/02/2025 14:00,01/02/2025 15:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,98,1,92,74,3.93
583,9f62e126-de0f-4b58-ad7a-4404b0873014,Networking Night 0583 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,08/23/2020 18:00,08/24/2020 00:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,128,0,115,113,4.24
584,b7ef75c2-929d-4ef3-8ed7-c92cac5702b0,Workshop 0584 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,12/16/2024 14:00,12/16/2024 15:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,196,1,182,113,4.14
585,e3d5bd74-ac99-4dfb-99ba-88c9d6fc7bf3,Webinar 0585 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,10/04/2024 10:00,10/04/2024 18:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,389,1,206,187,4.79
586,72dd7bf1-e6eb-4c30-b894-afa9090cc7df,Webinar 0586 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,12/12/2024 18:00,12/12/2024 22:00,America/New_York,Hybrid,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,658,1,468,450,4.44
587,950c6b46-69ba-456a-89b8-6732cb853871,Webinar 0587 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,05/12/2026 18:00,05/13/2026 02:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,225,1,152,137,4.96
588,10d4472b-0cb5-4af1-9f81-3f5565c5990b,Networking Night 0588 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,05/15/2023 18:00,05/15/2023 21:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,226,1,180,159,4.34
589,31315b70-9255-4a4c-b4a3-bbf43784878e,Workshop 0589 • Networking with Employers,Workshop,Networking with Employers,Join us for a workshop on Networking with Employers.,12/10/2021 18:00,12/11/2021 02:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,112,1,65,43,4.85
590,a65621df-596a-412f-92f0-76fe1ca8f74b,Webinar 0590 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,02/01/2024 10:00,02/01/2024 13:00,America/Los_Angeles,Virtual,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,488,1,271,259,3.7
591,de407751-f1e8-42ad-bbf7-5cded4531110,Career Fair 0591 • Entrepreneurship,Career Fair,Entrepreneurship,Join us for a career fair on Entrepreneurship.,03/04/2024 18:00,03/05/2024 00:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,738,1,379,305,4.56
592,53f9ec34-466a-4788-bcf5-0d4ef4abb73a,Meetup 0592 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for a meetup on Resume & Interview Mastery.,04/03/2020 14:00,04/03/2020 18:00,America/New_York,In-person,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,98,0,69,53,3.8
593,30e3e093-6ef1-49f4-aeeb-e2736538f6a2,Workshop 0593 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,09/24/2022 10:00,09/24/2022 13:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,114,1,40,30,3.69
594,750f5498-252f-4574-be91-c3437b252433,Panel 0594 • Entrepreneurship,Panel,Entrepreneurship,Join us for a panel on Entrepreneurship.,01/08/2023 18:00,01/08/2023 21:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,78,1,62,46,4.7
595,a2b9b928-e3dc-4841-aaa4-1bf00038f491,Panel 0595 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,06/13/2021 10:00,06/13/2021 14:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,144,1,138,87,4.15
596,f4e24437-93f8-48eb-8e43-5936a8a35872,Guest Lecture 0596 • Consulting Case Prep,Guest Lecture,Consulting Case Prep,Join us for a guest lecture on Consulting Case Prep.,01/17/2020 10:00,01/17/2020 14:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,103,1,88,53,4.35
597,715ee47d-42e3-492e-b35a-39863e07cc32,Hackathon 0597 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,05/28/2025 18:00,05/28/2025 21:00,America/Los_Angeles,Hybrid,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,358,1,204,164,4.28
598,002b046c-6bad-4c5f-95d8-578cb4794db9,Hackathon 0598 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,08/06/2023 14:00,08/06/2023 22:00,America/Chicago,Virtual,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,221,1,99,80,4.28
599,d518f7c2-cc19-45c7-9337-c31509ff177c,Guest Lecture 0599 • Graduate School Pathways,Guest Lecture,Graduate School Pathways,Join us for a guest lecture on Graduate School Pathways.,02/06/2022 14:00,02/06/2022 20:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,269,1,245,205,4.99
600,a8392b31-0ec7-4128-a567-f1e1e1a3ff14,Workshop 0600 • Graduate School Pathways,Workshop,Graduate School Pathways,Join us for a workshop on Graduate School Pathways.,03/05/2025 14:00,03/05/2025 16:00,America/Chicago,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,163,1,153,141,4.04
601,c3429187-fa29-4dd0-8dff-321d2ed95a44,Hackathon 0601 • AI & Data Analytics Careers,Hackathon,AI & Data Analytics Careers,Join us for a hackathon on AI & Data Analytics Careers.,06/06/2022 18:00,06/07/2022 00:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,198,1,147,103,4.65
602,b83b7183-5bab-4e38-847d-04cb045241f9,Networking Night 0602 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,07/18/2020 18:00,07/18/2020 22:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,306,0,133,130,3.89
603,f78bcb20-6c14-4a2f-b178-d5350a3aeefc,Guest Lecture 0603 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,05/16/2023 18:00,05/17/2023 00:00,America/Los_Angeles,In-person,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,275,1,124,85,4.87
604,fc893a55-5b4a-4e99-8ef2-29429c0e63bd,Webinar 0604 • Cybersecurity Trends,Webinar,Cybersecurity Trends,Join us for a webinar on Cybersecurity Trends.,09/30/2026 14:00,09/30/2026 22:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,522,1,297,277,4.06
605,fa35e548-6241-413d-9dc1-5ed1748849e5,Networking Night 0605 • Product & Project Management,Networking Night,Product & Project Management,Join us for a networking night on Product & Project Management.,09/14/2022 10:00,09/14/2022 12:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,207,1,140,122,3.9
606,51d54a39-4fdb-4207-966c-2b15867e9e25,Panel 0606 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,09/26/2026 10:00,09/26/2026 16:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,84,1,57,51,4.55
607,5a9efee6-7c30-4a54-afa2-4374b851c932,Guest Lecture 0607 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,05/08/2025 18:00,05/08/2025 19:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,183,1,104,71,4.82
608,f3bdb682-02a2-4a7a-a71a-9c87c1bf2183,Meetup 0608 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,08/03/2026 18:00,08/03/2026 19:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,164,1,123,93,4.31
609,bc66cb0b-d0cb-4c65-bca7-df764b58aa7e,Meetup 0609 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,02/17/2020 10:00,02/17/2020 12:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,161,0,50,49,3.89
610,19ff359e-05d3-434e-83b9-106a9810d32c,Panel 0610 • Resume & Interview Mastery,Panel,Resume & Interview Mastery,Join us for a panel on Resume & Interview Mastery.,05/16/2024 18:00,05/16/2024 22:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,69,1,49,40,4.99
611,3cfebeab-e207-4e5e-bbf0-8fc2a801a37f,Guest Lecture 0611 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,10/27/2020 14:00,10/27/2020 15:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,100,1,80,49,4.05
612,d0c65bf1-3667-4bdc-8914-9f47085db02c,Career Fair 0612 • Cybersecurity Trends,Career Fair,Cybersecurity Trends,Join us for a career fair on Cybersecurity Trends.,10/04/2023 10:00,10/04/2023 12:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,770,1,302,237,4.9
613,b428fd48-09b7-4c8f-99f1-d5863c36e5a0,Career Fair 0613 • Cybersecurity Trends,Career Fair,Cybersecurity Trends,Join us for a career fair on Cybersecurity Trends.,07/23/2021 18:00,07/23/2021 21:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,1153,0,1109,667,4.78
614,92abac68-204c-4459-8405-80ce4ea8b601,Hackathon 0614 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,03/04/2020 10:00,03/04/2020 12:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,341,1,264,203,3.59
615,67969759-8a3c-4f37-bb75-9813c5a6533b,Hackathon 0615 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,04/19/2025 14:00,04/19/2025 22:00,America/Chicago,Hybrid,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,90,1,46,35,4.74
616,06627d2b-d8eb-4ccd-9f1b-83c6d8a94c90,Hackathon 0616 • Product & Project Management,Hackathon,Product & Project Management,Join us for a hackathon on Product & Project Management.,11/21/2021 14:00,11/21/2021 18:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,314,1,299,285,4.65
617,ac74b23c-e2d6-4004-a4b0-5dce07673ac1,Networking Night 0617 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,01/03/2026 18:00,01/04/2026 00:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,355,1,302,257,4.47
618,5ec8a068-8daf-4d1d-839a-eaf30a0bc05d,Webinar 0618 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,10/29/2021 14:00,10/29/2021 17:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,625,1,252,164,4.53
619,7340e704-f15f-404a-b9a0-f7746905a033,Networking Night 0619 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,09/23/2025 14:00,09/23/2025 22:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,248,0,123,95,3.53
620,2366042d-0e7b-4985-9d2f-ebd2f883157d,Guest Lecture 0620 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for a guest lecture on Cloud & DevOps Pathways.,09/28/2025 14:00,09/28/2025 15:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,129,1,57,40,3.63
621,3479f563-868d-4498-9614-c141453f64a3,Webinar 0621 • Product & Project Management,Webinar,Product & Project Management,Join us for a webinar on Product & Project Management.,12/21/2023 18:00,12/21/2023 19:00,America/Los_Angeles,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,639,1,521,319,4.06
622,a340abe1-2998-46d4-960e-7c2d8c788acd,Guest Lecture 0622 • Graduate School Pathways,Guest Lecture,Graduate School Pathways,Join us for a guest lecture on Graduate School Pathways.,11/15/2023 18:00,11/15/2023 19:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,264,1,153,149,3.93
623,723c5085-33fb-4763-bc27-474f4927f7b0,Guest Lecture 0623 • Networking with Employers,Guest Lecture,Networking with Employers,Join us for a guest lecture on Networking with Employers.,02/12/2020 10:00,02/12/2020 12:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,243,1,151,111,4.04
624,2bad2535-c3ec-41cf-8a84-7512a546bc56,Workshop 0624 • Tech for Good,Workshop,Tech for Good,Join us for a workshop on Tech for Good.,02/15/2026 10:00,02/15/2026 11:00,America/Chicago,Virtual,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,64,1,28,17,4.21
625,3396149c-d3f5-480b-8589-3b8615dcddc7,Career Fair 0625 • Resume & Interview Mastery,Career Fair,Resume & Interview Mastery,Join us for a career fair on Resume & Interview Mastery.,01/10/2026 10:00,01/10/2026 16:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,1097,1,810,730,4.21
626,3018c671-b243-4d8c-bc8a-ed64b8726c9a,Guest Lecture 0626 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,09/10/2024 10:00,09/10/2024 18:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,137,1,105,93,3.57
627,95b1cd94-9677-4363-81d2-faeff8008659,Panel 0627 • Cybersecurity Trends,Panel,Cybersecurity Trends,Join us for a panel on Cybersecurity Trends.,10/03/2024 10:00,10/03/2024 11:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,139,1,76,65,4.44
628,d3dbc7fe-b622-4f7c-81c8-5c448a984fe9,Hackathon 0628 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,08/09/2025 10:00,08/09/2025 13:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,232,1,73,43,4.89
629,1b2bfbb5-5997-49ef-8a89-6333e12153b4,Networking Night 0629 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,02/18/2020 18:00,02/19/2020 00:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,303,0,110,101,4.2
630,f3817fd2-2de8-44e5-a0d0-cbbbf78ac6f8,Guest Lecture 0630 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for a guest lecture on Resume & Interview Mastery.,04/11/2021 14:00,04/11/2021 22:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Data Science Institute,dsi@slu.edu,227,1,108,90,3.91
631,7dc02204-8b4c-4230-a16a-4530e380c335,Guest Lecture 0631 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,08/31/2026 14:00,08/31/2026 20:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Data Science Institute,dsi@slu.edu,235,1,199,187,4.72
632,e18d616d-fe66-4aa1-84cd-8a9709a1e1f8,Career Fair 0632 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,11/19/2023 10:00,11/19/2023 16:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,864,0,568,536,4.0
633,f0df2430-f198-4541-b277-56b217ca2d09,Workshop 0633 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for a workshop on AI & Data Analytics Careers.,02/14/2021 14:00,02/14/2021 20:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,138,1,137,107,3.91
634,683da9f5-8ce8-48d8-835f-133427319593,Panel 0634 • Product & Project Management,Panel,Product & Project Management,Join us for a panel on Product & Project Management.,04/04/2021 10:00,04/04/2021 18:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,183,1,97,97,4.68
635,374c77de-ae29-4573-89eb-2398fc94a9c9,Networking Night 0635 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,09/11/2024 10:00,09/11/2024 13:00,America/Los_Angeles,In-person,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,221,1,126,104,4.41
636,a15f437b-1a9a-4870-a56f-c765140a486a,Career Fair 0636 • Entrepreneurship,Career Fair,Entrepreneurship,Join us for a career fair on Entrepreneurship.,04/13/2020 18:00,04/13/2020 22:00,America/Chicago,Virtual,Global Webinar Room,Online,NA,USA,Alumni Office,alumni@slu.edu,1217,0,1146,897,4.76
637,9a22e25a-87d2-4123-9649-c3c3275ab53d,Webinar 0637 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,12/04/2024 14:00,12/04/2024 17:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,498,1,241,222,4.99
638,99ec01be-5101-43c2-ac3d-c7bc35891a4e,Webinar 0638 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,01/09/2021 14:00,01/09/2021 15:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,458,1,407,339,4.4
639,c10e7f57-826b-4276-bcee-48087b3cefb6,Panel 0639 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,10/24/2023 10:00,10/24/2023 16:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,182,1,108,75,4.84
640,d4f539b3-073d-4c38-ab23-3bb206de0e19,Hackathon 0640 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,03/02/2025 18:00,03/03/2025 00:00,America/New_York,Virtual,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,141,1,89,55,3.78
641,64a077a0-63ee-4218-b5ae-22547bdb3f90,Hackathon 0641 • Resume & Interview Mastery,Hackathon,Resume & Interview Mastery,Join us for a hackathon on Resume & Interview Mastery.,12/06/2020 18:00,12/06/2020 21:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,177,1,57,42,3.51
642,afcfe0e0-0b83-4165-b3fd-0bdf9f429b14,Panel 0642 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,12/09/2020 14:00,12/09/2020 17:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,163,1,108,76,3.57
643,352bdc62-f937-42aa-8b02-103af32ec882,Networking Night 0643 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,11/24/2023 10:00,11/24/2023 16:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,188,1,138,84,4.12
644,69604372-cad0-4330-8617-403cd784acd9,Networking Night 0644 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,09/30/2021 18:00,10/01/2021 02:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,298,1,90,89,4.38
645,5cc0dc2c-9971-4a7c-a54f-388211ff2bd2,Hackathon 0645 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,04/23/2025 14:00,04/23/2025 17:00,America/Los_Angeles,Virtual,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,110,1,53,38,4.24
646,60220330-e43f-41f5-8df7-efd7684f46e6,Career Fair 0646 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,12/22/2021 18:00,12/23/2021 00:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1119,0,925,582,4.6
647,96cd4a67-c2bb-43d5-9793-3bd36cbb8f7a,Meetup 0647 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,09/11/2023 18:00,09/11/2023 21:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,74,1,64,39,3.83
648,887ca750-c80a-49fe-a28e-840a27cd9529,Meetup 0648 • Tech for Good,Meetup,Tech for Good,Join us for a meetup on Tech for Good.,12/06/2022 10:00,12/06/2022 14:00,America/Los_Angeles,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,166,0,82,77,3.53
649,b5ccae21-22a8-4abc-8539-15d29ec7e04a,Panel 0649 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,01/19/2025 18:00,01/20/2025 02:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,246,1,116,70,4.89
650,5b25c512-936e-4179-a63d-31d030f84928,Workshop 0650 • Tech for Good,Workshop,Tech for Good,Join us for a workshop on Tech for Good.,01/11/2022 14:00,01/11/2022 16:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,134,1,95,59,4.64
651,aabf9710-dce1-4efd-a640-3ca7316b1a1b,Workshop 0651 • Graduate School Pathways,Workshop,Graduate School Pathways,Join us for a workshop on Graduate School Pathways.,10/17/2025 14:00,10/17/2025 16:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,107,1,35,32,3.58
