serial_no,job_id,student_id,employer_id,job_title,job_family,job_level,job_type,employment_mode,location_city,location_state,location_country,offer_date,offer_accept_date,start_date,end_date,salary_currency,salary_base_annual,visa_type,source_channel,created_at
519,635f3a92-c75f-4705-92ff-aad82597d2c2,55b28606-6922-4707-901f-fbb17c2b361c,EMP000519,Business Analyst,Product,Senior,Contract,On-site,Hyderabad,NA,India,01/31/2023,02/04/2023,05/18/2023,12/31/2024,USD,91768.0,OPT,LinkedIn,2025-10-25
520,b4881485-bc27-4197-9333-d58a68c4f266,8b08e6d7-2c6f-4d21-9a2f-dc202d64aafc,EMP000520,ML Engineer,Security,Senior,Internship,On-site,Seattle,WA,USA,04/14/2022,04/20/2022,09/11/2022,09/06/2024,USD,94621.0,OPT,Direct Apply,2025-10-25
521,cbf2f5a1-afb6-4056-aef6-1b53d1e5d007,27a094f1-3bf5-49f5-b9f1-eedb3e588fb4,EMP000521,Associate Consultant,Product,Intern,Contract,Hybrid,Hyderabad,NA,India,07/21/2026,07/21/2026,11/05/2026,12/31/2026,USD,103624.0,STEM OPT,LinkedIn,2025-10-25
522,bfaf5647-4170-44b0-a582-39fbd54407e1,71d13bda-fecc-4408-84e7-11e1c13415bd,EMP000522,Security Analyst,Quality,Intern,Full-time,Remote,St. Louis,MO,USA,02/22/2021,03/04/2021,08/28/2021,08/13/2023,USD,104998.0,OPT,Career Fair,2025-10-25
523,c63dba80-81aa-401f-8f76-c26741dbbe61,1009ba4a-7e80-49ac-9f78-1b0027d94cd8,EMP000523,ML Engineer,Security,Senior,Full-time,Hybrid,Dallas,TX,USA,04/17/2025,04/28/2025,11/24/2025,12/31/2026,USD,110743.0,OPT,Referral,2025-10-25
524,62fd3446-3126-4f0a-9e41-8047c0bec672,82c46320-6ab9-41e8-8540-be3dcc43f0da,EMP000524,Data Analyst,Analytics,Intern,Full-time,Hybrid,St. Louis,MO,USA,12/15/2020,12/21/2020,06/12/2021,07/01/2022,USD,113434.0,OPT,Referral,2025-10-25
525,0d4ae1b3-a25f-4904-91a6-9e2ae65ba43f,bc327881-21ef-4070-841d-f2f5a149add2,EMP000525,Associate Consultant,Quality,Senior,Contract,Remote,Bengaluru,NA,India,10/26/2020,11/03/2020,06/06/2021,07/11/2022,USD,132399.0,PR,LinkedIn,2025-10-25
526,69e133f0-7137-439d-823f-9ad790ff0d5d,1bb34aa0-779c-4055-a9f3-84c97af729fd,EMP000526,Business Analyst,Security,Junior,Internship,Hybrid,Bengaluru,NA,India,09/30/2025,10/11/2025,05/21/2026,12/31/2026,USD,106506.0,OPT,Direct Apply,2025-10-25
527,48a6073c-a6b8-4c46-b5c4-5982472aaf18,71228aeb-99e1-49dd-b7a1-a47ae226dc8c,EMP000527,Business Analyst,Product,Mid,Full-time,Remote,Hyderabad,NA,India,03/23/2024,03/28/2024,10/17/2024,01/12/2026,USD,108511.0,STEM OPT,Direct Apply,2025-10-25
528,d2c2342a-c912-4f97-abd7-af75aa84e0b0,e043c748-714a-4e6c-9762-816afecb26d0,EMP000528,Software Engineer,Quality,Senior,Contract,Hybrid,Austin,TX,USA,04/14/2021,04/14/2021,08/05/2021,07/02/2023,USD,89045.0,OPT,Direct Apply,2025-10-25
529,9ffd9cd6-b5f3-4f30-ba8b-6770b8e9ee5a,eed03745-f35e-4ce4-84a4-c2b04672b9e2,EMP000529,QA Engineer,Security,Mid,Internship,Remote,Seattle,WA,USA,11/04/2020,11/17/2020,05/13/2021,11/02/2022,USD,104519.0,OPT,Handshake,2025-10-25
530,e7eba751-b600-4991-94f4-97aa046e425d,eadbfae1-0b01-42a6-b220-22d58d74147e,EMP000530,Business Analyst,Consulting,Junior,Full-time,On-site,Dallas,TX,USA,04/04/2025,04/15/2025,10/16/2025,12/31/2026,USD,104232.0,OPT,Handshake,2025-10-25
531,a9a79747-df07-4fd3-a9d6-dc00e1c33979,ff947eb7-289e-469c-9fbf-dd14e1a2471c,EMP000531,Data Engineer,Engineering,Intern,Full-time,Hybrid,Austin,TX,USA,02/02/2026,02/09/2026,06/13/2026,12/31/2026,USD,104158.0,OPT,Handshake,2025-10-25
532,7bc3ac40-7e92-40fd-aba0-259d91e45e77,661b85f0-e94e-4bc9-b060-60e4e5ea5dda,EMP000532,Associate Consultant,Quality,Mid,Internship,Hybrid,Chicago,IL,USA,06/02/2024,06/15/2024,08/09/2024,12/20/2025,USD,98283.0,OPT,LinkedIn,2025-10-25
533,c4353acc-82d2-4b8e-a5e0-62d2191e9443,1a0ffe60-89d1-473e-a787-4624d949d789,EMP000533,Data Analyst,Analytics,Intern,Internship,Remote,Chicago,IL,USA,07/15/2024,07/22/2024,10/29/2024,04/09/2026,USD,85091.0,OPT,Referral,2025-10-25
534,7507be9f-e56e-4a74-8f53-6792f3c66f3a,4fd9d89e-dfba-4bf0-8c80-76e57766ea5b,EMP000534,QA Engineer,Security,Intern,Contract,Hybrid,Boston,MA,USA,11/27/2025,11/27/2025,06/02/2026,12/31/2026,USD,119855.0,OPT,Referral,2025-10-25
535,7071820c-c360-4ca4-8e85-7b1b14f2408a,43f9a575-2d61-4375-b6c8-e4fe497ffc57,EMP000535,Business Analyst,Quality,Mid,Contract,Remote,St. Louis,MO,USA,07/19/2026,08/02/2026,11/22/2026,12/31/2026,USD,115093.0,OPT,LinkedIn,2025-10-25
536,870abd4c-8710-4706-a5ba-2851549f41ff,961ff9d6-48a0-4e72-be21-d5b7535badf1,EMP000536,ML Engineer,Analytics,Mid,Contract,Remote,Bengaluru,NA,India,11/28/2021,12/10/2021,05/12/2022,01/22/2024,USD,109501.0,PR,Direct Apply,2025-10-25
537,5ed551e3-9d32-48c1-8c54-bc3d6c5f442e,4bec8195-ddd1-428b-9165-0719879bcaf0,EMP000537,Associate Consultant,Analytics,Junior,Contract,Hybrid,New York,NY,USA,02/19/2026,02/25/2026,05/13/2026,12/31/2026,USD,126912.0,Other,LinkedIn,2025-10-25
538,81ebea64-23aa-4640-99e6-071bab7c08a7,6b33af5a-34ee-4ba0-b54e-a654eb891ed8,EMP000538,Associate Consultant,Quality,Senior,Full-time,On-site,St. Louis,MO,USA,10/01/2022,10/05/2022,05/20/2023,01/14/2025,USD,99515.0,OPT,LinkedIn,2025-10-25
539,04fa3802-cf4b-4336-a772-682deaf9d595,d11f5d37-fd59-47a3-a54a-8b355bb5b9a1,EMP000539,Security Analyst,Product,Intern,Contract,On-site,Chicago,IL,USA,01/10/2024,01/12/2024,05/31/2024,10/05/2025,USD,103284.0,STEM OPT,Career Fair,2025-10-25
540,432a8519-cddb-4b47-9fe6-12b9a119b8b9,1662d24e-02a1-4cb3-a75b-44c7c4526643,EMP000540,Business Analyst,Consulting,Senior,Internship,On-site,Seattle,WA,USA,06/27/2023,07/06/2023,11/02/2023,01/16/2025,USD,131016.0,PR,Referral,2025-10-25
541,ae8f6e42-9b2d-4a53-b59c-2fc877dd2985,24189a80-1335-447a-8470-728546913daa,EMP000541,Associate Consultant,Analytics,Junior,Contract,On-site,Chicago,IL,USA,05/08/2023,05/19/2023,11/05/2023,05/25/2025,USD,128792.0,Other,Direct Apply,2025-10-25
542,9ad76647-d2be-406b-bf51-02e7d6947f02,89637102-8437-4fed-8ebe-7bb550a41227,EMP000542,ML Engineer,Quality,Junior,Internship,Remote,Chicago,IL,USA,11/23/2022,12/01/2022,06/02/2023,09/25/2024,USD,111763.0,Citizen,Direct Apply,2025-10-25
543,4724b281-2858-4d48-94f7-ecc8486f2f2e,c636fc83-e334-4954-932f-95a8cd0c42c9,EMP000543,ML Engineer,Consulting,Junior,Internship,Remote,Bengaluru,NA,India,05/17/2022,05/29/2022,08/08/2022,09/04/2023,USD,125316.0,Other,Direct Apply,2025-10-25
544,66047632-36de-4f65-948f-04344d9f9184,ec8e15d2-9dc3-4317-b921-3e551abd054b,EMP000544,Data Analyst,Product,Intern,Contract,Remote,Boston,MA,USA,07/27/2024,08/06/2024,11/12/2024,01/27/2026,USD,98692.0,Other,Handshake,2025-10-25
545,fcc4336a-cb95-442e-855d-5eccc7cf524e,48c38d22-e13e-473b-bc25-d9885951eff9,EMP000545,Cloud Engineer,Quality,Intern,Full-time,On-site,Bengaluru,NA,India,01/26/2025,02/03/2025,08/15/2025,12/31/2026,USD,121855.0,PR,Referral,2025-10-25
546,a0a7555f-b961-42e8-9046-534de3c46e77,845bcc76-d7ff-4d79-bc48-9110bcb95b16,EMP000546,Product Analyst,Security,Intern,Internship,On-site,Chicago,IL,USA,04/21/2025,04/21/2025,09/06/2025,10/01/2026,USD,111558.0,OPT,LinkedIn,2025-10-25
547,08d0bad3-9903-4ce8-ae6f-24ef709cd2b5,59db4102-0556-4357-aae3-7b08de0e89a2,EMP000547,Business Analyst,Engineering,Senior,Internship,Hybrid,New York,NY,USA,05/07/2023,05/12/2023,12/10/2023,05/15/2025,USD,96850.0,Other,Direct Apply,2025-10-25
548,087dd205-80ff-46bf-93bd-1b1c16888259,e6f96eb5-2713-4347-902f-a93c8d6b18d1,EMP000548,Security Analyst,Security,Senior,Full-time,Remote,New York,NY,USA,06/24/2022,06/28/2022,11/01/2022,05/29/2024,USD,101767.0,OPT,Direct Apply,2025-10-25
549,dc690087-7360-48b4-b60b-813eb8f2af32,35d58388-c9b4-4970-a8a7-ce4a95fe2c49,EMP000549,Data Engineer,Consulting,Mid,Full-time,Hybrid,Boston,MA,USA,07/21/2024,08/04/2024,11/29/2024,07/19/2026,USD,113018.0,PR,Direct Apply,2025-10-25
550,f4f1c86d-883e-4d01-a1b7-2e7665a3ae51,ade0c710-1357-4005-ad41-1092d9d29768,EMP000550,Product Analyst,Analytics,Junior,Contract,On-site,Hyderabad,NA,India,07/03/2023,07/04/2023,11/14/2023,01/27/2025,USD,108965.0,PR,Direct Apply,2025-10-25
551,b697f66b-b1a0-40ff-819b-fa165e4f4e6d,20d06942-47a3-4e95-9934-f52cb763b4a3,EMP000551,Cloud Engineer,Product,Mid,Contract,Remote,Seattle,WA,USA,09/13/2024,09/23/2024,11/14/2024,06/29/2026,USD,109011.0,OPT,LinkedIn,2025-10-25
552,a0ad5a71-ccc1-4796-917b-b9866f2cc665,a06113fb-9014-4a25-8ebc-3bc5ebe625b4,EMP000552,Security Analyst,Consulting,Junior,Full-time,Remote,New York,NY,USA,05/06/2025,05/06/2025,11/07/2025,12/31/2026,USD,111239.0,PR,Career Fair,2025-10-25
553,b7ddea5c-edb9-4a76-ae76-204cfaf4622a,91d81682-7e77-4af1-b77e-3c6683d55d7d,EMP000553,Product Analyst,Consulting,Intern,Internship,Remote,New York,NY,USA,05/05/2025,05/15/2025,09/07/2025,12/31/2026,USD,95829.0,OPT,Handshake,2025-10-25
554,a52564e9-bb0a-481b-9b58-2604544ce579,5ff27ebd-d3b0-4e23-a6cb-3d16c5877836,EMP000554,Data Engineer,Consulting,Junior,Full-time,On-site,Dallas,TX,USA,03/29/2023,04/09/2023,11/16/2023,09/09/2025,USD,109258.0,STEM OPT,Referral,2025-10-25
555,84947833-6099-4bdc-9a8a-dbdff7881ec6,07143047-d057-4933-9f1f-15092b3407d6,EMP000555,Data Analyst,Analytics,Senior,Full-time,Hybrid,Dallas,TX,USA,10/11/2024,10/22/2024,04/26/2025,10/09/2026,USD,121673.0,Other,Referral,2025-10-25
556,cf341221-e967-4ad1-abca-f8ae5b90ecbf,d2456994-361f-4b4e-b6b5-ed92bbef4538,EMP000556,Business Analyst,Engineering,Junior,Internship,Remote,Bengaluru,NA,India,03/18/2024,03/29/2024,07/31/2024,06/20/2026,USD,118979.0,OPT,LinkedIn,2025-10-25
557,da7033d0-d2ec-43bb-9908-9cd2f7078ba9,88d46982-6d76-409d-b981-701b0ef88201,EMP000557,Business Analyst,Product,Intern,Internship,On-site,St. Louis,MO,USA,03/16/2025,03/28/2025,07/18/2025,08/12/2026,USD,91220.0,OPT,Direct Apply,2025-10-25
558,52c4ca0c-1397-4a48-a228-b22c94ff6a67,15f98ffb-f833-4626-9db1-9a107d93b951,EMP000558,Software Engineer,Product,Mid,Full-time,Remote,Austin,TX,USA,04/30/2025,05/08/2025,12/04/2025,12/31/2026,USD,102842.0,OPT,Handshake,2025-10-25
559,e0ea26a8-c082-4604-b2c5-339934798a7b,54ff8d7d-ad27-4fdb-934a-ca365c87d54a,EMP000559,Security Analyst,Consulting,Intern,Internship,Remote,Chicago,IL,USA,06/24/2022,07/06/2022,11/03/2022,09/20/2024,USD,121420.0,STEM OPT,Handshake,2025-10-25
560,3a7fb739-4c2d-4080-8e7f-6f6795462b75,e4fd0b5b-bd82-48f5-8d40-d0a97ad79a60,EMP000560,Data Analyst,Analytics,Junior,Contract,Remote,Seattle,WA,USA,03/18/2025,03/25/2025,09/06/2025,12/31/2026,USD,112032.0,PR,Referral,2025-10-25
561,705e534f-4604-4549-97b2-63afb0d02d4b,af11b86a-8f05-42b1-9078-ab2ceb26245a,EMP000561,Cloud Engineer,Engineering,Senior,Contract,On-site,Dallas,TX,USA,12/11/2023,12/18/2023,05/30/2024,07/18/2025,USD,91301.0,OPT,Handshake,2025-10-25
562,72f06d22-b8a8-44aa-80fc-faa948ca614b,8e4e6998-d5c3-427d-af57-702cf6d2629f,EMP000562,Data Engineer,Security,Intern,Contract,On-site,New York,NY,USA,05/05/2022,05/08/2022,09/10/2022,08/20/2024,USD,103033.0,H1B,LinkedIn,2025-10-25
563,df6dc1be-f778-4d4e-8722-b0e201b78a0b,f4b91bc4-fa34-4fbc-9b81-56d8127d375e,EMP000563,Software Engineer,Engineering,Junior,Contract,Hybrid,Seattle,WA,USA,01/28/2024,01/28/2024,05/04/2024,11/10/2025,USD,122587.0,STEM OPT,Career Fair,2025-10-25
564,7dd79c9e-4d01-4a38-b75f-a20057ea4927,04eda57f-8f19-41cb-9e75-04885c9e5836,EMP000564,Software Engineer,Product,Mid,Contract,Hybrid,Dallas,TX,USA,03/02/2023,03/06/2023,08/11/2023,01/10/2025,USD,110236.0,PR,Referral,2025-10-25
565,bd1634ed-335a-4358-9402-e30d5bc8ac8c,6718cddf-8df4-4507-a218-b96032131e16,EMP000565,Cloud Engineer,Security,Intern,Internship,Remote,Hyderabad,NA,India,04/08/2024,04/12/2024,08/25/2024,01/12/2026,USD,125502.0,PR,Career Fair,2025-10-25
566,fb54ff5b-1d1c-4260-ae52-310f86dc86d3,d488923d-9d19-4aa5-8afe-3debdc2e5514,EMP000566,Data Engineer,Analytics,Senior,Full-time,On-site,Bengaluru,NA,India,07/26/2025,07/26/2025,11/20/2025,12/31/2026,USD,108280.0,OPT,LinkedIn,2025-10-25
567,e1d12011-bebe-4064-8768-71c59f114497,9d3cf881-dcb2-492b-adce-6609cfdb04e5,EMP000567,ML Engineer,Consulting,Senior,Contract,Remote,Bengaluru,NA,India,03/25/2021,03/27/2021,08/15/2021,05/19/2023,USD,113585.0,Other,Referral,2025-10-25
568,35aa58c6-bb9d-4ec9-98f6-9006d05409a0,13754a7e-64d5-46dc-9115-a0a830d8fc42,EMP000568,Product Analyst,Analytics,Intern,Contract,Remote,Bengaluru,NA,India,05/15/2022,05/25/2022,08/14/2022,12/10/2023,USD,129138.0,Other,Career Fair,2025-10-25
569,00c3fb13-9fca-48fc-87ae-af8a4c652726,67d8ac75-b8c4-4b23-b5a3-c4c80ea1d34b,EMP000569,Business Analyst,Consulting,Mid,Internship,Remote,Hyderabad,NA,India,02/18/2024,02/28/2024,04/27/2024,11/24/2025,USD,119853.0,STEM OPT,Direct Apply,2025-10-25
570,776ca193-cd10-4acb-a3bd-debe1d1f3b4e,b996be85-7be0-4106-89b2-c70f0c7a3db2,EMP000570,Data Engineer,Product,Senior,Contract,Remote,Hyderabad,NA,India,03/28/2025,04/11/2025,11/22/2025,12/31/2026,USD,117804.0,STEM OPT,Handshake,2025-10-25
571,fca2c231-31b0-4ba8-9305-b0e777a205e3,84c399be-d615-46be-889e-3d49a27a277f,EMP000571,ML Engineer,Engineering,Junior,Internship,Hybrid,New York,NY,USA,02/13/2022,02/15/2022,08/31/2022,12/03/2023,USD,98429.0,OPT,Career Fair,2025-10-25
572,f286b488-d7ca-4629-9a11-f0aba6264ff6,ee0ce73c-7fc1-494b-8179-a5b11084b788,EMP000572,Data Engineer,Product,Senior,Full-time,Remote,Chicago,IL,USA,08/27/2021,09/07/2021,11/13/2021,09/05/2023,USD,88026.0,OPT,Career Fair,2025-10-25
573,c92287d6-1f40-4d0f-ae8a-80140c3f1ae7,af7ea8cc-471e-4a5c-9eb2-e1dda142f4b8,EMP000573,Data Analyst,Consulting,Senior,Full-time,Hybrid,Dallas,TX,USA,05/16/2022,05/17/2022,10/23/2022,04/20/2024,USD,119017.0,OPT,Referral,2025-10-25
574,d91d0841-2f27-4bdb-b1f6-95eb7fb8ceb0,4bd4d3ae-be53-4b3b-b4d5-cd61c37f5057,EMP000574,Data Engineer,Product,Junior,Contract,Hybrid,Bengaluru,NA,India,02/22/2024,03/02/2024,08/16/2024,09/04/2025,USD,110500.0,OPT,Referral,2025-10-25
575,9712c854-23f6-4525-830d-60519de943e6,26fde36b-88c7-4c42-a1dc-39f75ab6e575,EMP000575,ML Engineer,Quality,Mid,Contract,Hybrid,Bengaluru,NA,India,05/09/2022,05/12/2022,08/22/2022,04/28/2024,USD,108140.0,Other,Referral,2025-10-25
576,8fe5f382-54fc-4164-9c1d-fe28ca8c4738,11c67dcc-453b-4d70-abd0-ed91c33e0c8d,EMP000576,QA Engineer,Security,Junior,Contract,On-site,Seattle,WA,USA,08/16/2026,08/22/2026,12/13/2026,12/31/2026,USD,123649.0,STEM OPT,LinkedIn,2025-10-25
577,8dd7ce42-0aa6-4359-b613-6b5dbe61157b,279344ef-4a23-43c3-aac7-dc40e07b2796,EMP000577,Business Analyst,Product,Junior,Contract,Hybrid,Dallas,TX,USA,12/21/2022,12/21/2022,05/10/2023,12/11/2024,USD,98151.0,STEM OPT,Referral,2025-10-25
578,718393b5-e163-4ace-81a5-8adb5410b1e7,eea7f7eb-6c9e-43fb-8cdf-5c5da5889923,EMP000578,Security Analyst,Security,Mid,Contract,Remote,Dallas,TX,USA,04/27/2022,04/28/2022,07/23/2022,01/12/2024,USD,106169.0,STEM OPT,Direct Apply,2025-10-25
579,00bee504-cbe0-4c1c-bc59-ba62f552526e,b6418c55-18c1-4941-9268-b35ac85a9caa,EMP000579,ML Engineer,Quality,Senior,Full-time,On-site,Hyderabad,NA,India,02/20/2026,03/01/2026,05/26/2026,12/31/2026,USD,115966.0,OPT,LinkedIn,2025-10-25
580,b38c6337-915b-4bb2-b44a-ae3bd300b242,e7060caf-ae6e-4a86-95e3-7642fa1f0577,EMP000580,Software Engineer,Engineering,Mid,Full-time,Hybrid,St. Louis,MO,USA,06/17/2026,06/30/2026,11/18/2026,12/31/2026,USD,107976.0,OPT,Direct Apply,2025-10-25
581,6aa0cf14-7320-4619-aa0c-3e1236e3801f,fa310870-e73d-4b31-bcfd-c712edc6cc3d,EMP000581,Associate Consultant,Quality,Intern,Internship,On-site,New York,NY,USA,05/25/2025,05/28/2025,12/09/2025,12/31/2026,USD,94493.0,OPT,LinkedIn,2025-10-25
582,748014cd-4636-44d2-a45c-83b020a460cd,8756a4ed-6d42-403b-bedf-c0368b0cb961,EMP000582,Business Analyst,Quality,Mid,Contract,Remote,New York,NY,USA,08/14/2023,08/28/2023,11/20/2023,05/20/2025,USD,104471.0,OPT,Direct Apply,2025-10-25
583,4d3bcf19-f49c-40fc-800d-3a54ed61ca50,99388597-30c1-44bb-b3ab-da1e6e751cdd,EMP000583,Data Engineer,Security,Intern,Internship,Remote,St. Louis,MO,USA,06/08/2025,06/13/2025,07/23/2025,10/18/2026,USD,136333.0,PR,Referral,2025-10-25
584,741eb932-922d-4bef-9012-c40d94de4026,dbf3f3e1-c6fe-4900-99fb-1885d9788c71,EMP000584,Data Analyst,Security,Junior,Internship,On-site,St. Louis,MO,USA,08/25/2023,08/30/2023,10/27/2023,12/29/2024,USD,108163.0,Citizen,LinkedIn,2025-10-25
585,614a7f3e-222a-498e-9386-fecb2db3514f,115481f8-93c1-4125-9125-ee9acf2f778d,EMP000585,ML Engineer,Analytics,Mid,Internship,Remote,Hyderabad,NA,India,02/20/2022,03/05/2022,06/08/2022,01/22/2024,USD,109773.0,OPT,Direct Apply,2025-10-25
586,39bd3ba4-d054-4a5f-a94a-677354116a65,a374d453-3d15-4a21-8584-5619c2fbfce8,EMP000586,Business Analyst,Analytics,Junior,Full-time,On-site,New York,NY,USA,10/20/2023,10/30/2023,05/25/2024,07/15/2025,USD,120701.0,STEM OPT,LinkedIn,2025-10-25
587,0bc74451-0967-4613-85a0-1e1877ccd9c3,8ffb8b78-cf9a-4076-924d-a506b0364426,EMP000587,Business Analyst,Quality,Junior,Full-time,Remote,Seattle,WA,USA,08/18/2025,08/20/2025,10/20/2025,12/31/2026,USD,117258.0,STEM OPT,Career Fair,2025-10-25
588,2c5ea4e5-a047-4389-a49c-a75471fe6012,e3ac6fe2-e72c-4468-ba78-1f035e63e137,EMP000588,Software Engineer,Consulting,Intern,Full-time,On-site,St. Louis,MO,USA,05/10/2022,05/20/2022,07/18/2022,03/28/2024,USD,130144.0,PR,Direct Apply,2025-10-25
589,b863a188-6ea9-4ab1-b8a5-fb7bd926ede1,a49408f3-7459-4a46-af88-28c256aaa693,EMP000589,ML Engineer,Security,Mid,Contract,Remote,Chicago,IL,USA,05/05/2025,05/16/2025,11/08/2025,12/31/2026,USD,123747.0,PR,Referral,2025-10-25
590,720bdc25-abad-492e-9a88-7106e3184f73,9bbb158d-269c-4072-9e2d-a9bfb337f223,EMP000590,QA Engineer,Analytics,Mid,Full-time,On-site,Chicago,IL,USA,12/09/2021,12/17/2021,06/09/2022,06/11/2023,USD,129922.0,Citizen,Career Fair,2025-10-25
591,4740dd66-5a36-48bc-ab33-0c8aa549387f,684b242f-b94d-4d2f-9af5-61534ff0288d,EMP000591,Data Analyst,Consulting,Senior,Contract,Hybrid,Seattle,WA,USA,05/26/2022,06/06/2022,09/01/2022,04/26/2024,USD,122586.0,STEM OPT,Handshake,2025-10-25
592,33f8cf42-394a-4dfb-b8c0-2436b2442b67,1465ca65-a756-49f5-930e-cfeeb9c6557b,EMP000592,Cloud Engineer,Product,Mid,Full-time,Remote,Hyderabad,NA,India,12/31/2020,01/12/2021,07/28/2021,01/04/2023,USD,107504.0,OPT,LinkedIn,2025-10-25
593,ac5d54df-41e3-4e6a-a9d0-9a71292476e8,ab685e90-9e8f-4ec8-b23b-3c9f61b75bb2,EMP000593,QA Engineer,Consulting,Senior,Contract,On-site,Hyderabad,NA,India,01/07/2024,01/14/2024,04/23/2024,03/07/2026,USD,106031.0,Other,LinkedIn,2025-10-25
594,e83ba067-e14c-4b33-8a64-e54c33bd8a4e,8987e5c3-4e06-412c-9100-a1876475d304,EMP000594,Associate Consultant,Engineering,Mid,Contract,Remote,Hyderabad,NA,India,02/08/2024,02/16/2024,07/18/2024,05/03/2026,USD,114175.0,Citizen,Handshake,2025-10-25
595,340bc303-e242-48e6-b814-2a581f4f5975,3cc12ae0-8850-49d4-9bb5-e66be1df84fa,EMP000595,Security Analyst,Security,Intern,Contract,Remote,Chicago,IL,USA,10/31/2022,11/08/2022,06/02/2023,04/13/2025,USD,101348.0,OPT,Referral,2025-10-25
596,2ab2365e-afac-4859-9105-67a6cf2d95ea,08d70cbf-14b4-47e3-b6c4-1c15966bb1c4,EMP000596,Associate Consultant,Consulting,Junior,Contract,On-site,Dallas,TX,USA,03/23/2022,03/25/2022,07/21/2022,04/18/2024,USD,115627.0,OPT,Handshake,2025-10-25
597,0f3610e0-b76c-4e2c-bf2e-7f9b49bc39c5,e6d9d86d-81b7-476d-9814-f8e3f2e43a6e,EMP000597,Data Engineer,Engineering,Intern,Internship,Remote,Chicago,IL,USA,06/08/2026,06/20/2026,12/03/2026,12/31/2026,USD,129827.0,PR,Career Fair,2025-10-25
598,b144003c-842c-47d4-85d5-1172824b8e46,22b6cb40-8f22-4850-8c54-d9880b8251bd,EMP000598,QA Engineer,Engineering,Intern,Full-time,Remote,Dallas,TX,USA,06/03/2025,06/03/2025,08/03/2025,12/31/2026,USD,99562.0,OPT,LinkedIn,2025-10-25
599,777c425d-d54f-4712-bae1-1fde82e8b5e9,f02c2601-3c18-4fc5-95d6-f75b355f6b6a,EMP000599,Software Engineer,Analytics,Mid,Full-time,Remote,Austin,TX,USA,11/25/2025,12/04/2025,05/10/2026,12/31/2026,USD,115346.0,STEM OPT,Referral,2025-10-25
600,fd9c5f16-13da-4667-a0a2-e74121d87335,72e70984-71a1-4a23-9604-d089c3bd1351,EMP000600,ML Engineer,Analytics,Senior,Internship,On-site,Hyderabad,NA,India,04/23/2023,04/27/2023,09/12/2023,07/07/2025,USD,99448.0,OPT,Career Fair,2025-10-25
601,8cb59f8c-7528-46cc-aaea-18925fd38ac0,362b36b5-aeef-4954-b3ea-3930ae91c28a,EMP000601,Business Analyst,Security,Senior,Internship,Remote,New York,NY,USA,05/11/2022,05/24/2022,11/25/2022,01/14/2024,USD,107507.0,Citizen,Direct Apply,2025-10-25
602,f7383218-fc8e-4e54-8880-419fafcdf1e7,de7bc971-6388-4635-a36a-3ef1c59fccad,EMP000602,Product Analyst,Engineering,Mid,Internship,Hybrid,New York,NY,USA,02/23/2022,02/27/2022,09/07/2022,07/19/2024,USD,112012.0,STEM OPT,Direct Apply,2025-10-25
603,cd1a8f11-5b81-4740-b77a-5abd570bf32f,f3acf059-f072-4615-8b7c-09a812ffea21,EMP000603,Cloud Engineer,Quality,Intern,Full-time,On-site,Seattle,WA,USA,05/27/2022,05/27/2022,08/06/2022,10/11/2023,USD,106116.0,STEM OPT,LinkedIn,2025-10-25
604,7b2d80aa-b851-4fed-bea4-0e08b9e88e41,c013bea2-cbb1-4456-b4e0-1f195b7aa509,EMP000604,QA Engineer,Quality,Senior,Full-time,Hybrid,Dallas,TX,USA,11/23/2021,11/29/2021,05/21/2022,04/06/2024,USD,114088.0,OPT,LinkedIn,2025-10-25
605,45a19ad8-550e-4fc8-b92a-3be774e8015f,2f4ddd07-68e5-4974-9d1d-be8b50eb3d2b,EMP000605,Data Analyst,Consulting,Senior,Full-time,Remote,Seattle,WA,USA,02/04/2022,02/05/2022,05/29/2022,01/14/2024,USD,121351.0,Citizen,Handshake,2025-10-25
606,70948566-df80-44e1-ad7f-052ca714103b,804ed92e-bea5-4542-b1b9-5b85fba938f6,EMP000606,ML Engineer,Quality,Junior,Internship,Remote,Austin,TX,USA,03/10/2021,03/10/2021,07/18/2021,02/07/2023,USD,109921.0,Other,Career Fair,2025-10-25
607,d11fc543-e640-49c0-9309-13e84ad628b0,db9292cf-6fde-4929-aedd-817b9519d17e,EMP000607,Security Analyst,Engineering,Junior,Internship,Hybrid,Hyderabad,NA,India,04/03/2024,04/15/2024,08/12/2024,11/19/2025,USD,93719.0,STEM OPT,Career Fair,2025-10-25
608,bf48b86a-faf9-4952-a027-0b4c4eaaef42,8cd8229f-142f-4bf6-8a3c-7819a8498707,EMP000608,Product Analyst,Quality,Mid,Contract,Hybrid,Hyderabad,NA,India,04/30/2021,05/13/2021,09/03/2021,07/17/2023,USD,114697.0,OPT,Handshake,2025-10-25
609,fd71925b-38d7-4460-9a75-3bab58fd97e4,10741e87-1d1a-42d0-8df9-67cb176d72e8,EMP000609,Data Analyst,Consulting,Junior,Full-time,Remote,St. Louis,MO,USA,04/15/2025,04/16/2025,07/22/2025,11/19/2026,USD,117831.0,OPT,Referral,2025-10-25
610,1b0b3f05-28bb-4bee-bf2e-3e372000855d,fcf60dbd-8349-48c4-bce1-9f83fccca440,EMP000610,ML Engineer,Product,Junior,Contract,Hybrid,Bengaluru,NA,India,09/10/2021,09/19/2021,11/07/2021,02/19/2023,USD,107210.0,STEM OPT,Handshake,2025-10-25
